Fecha de contabilización;Nombre de proyecto;Nombre de cuenta;Glosa de línea;Comprobante;Prefijo;Número folio;Monto;Valor UF;Total UF
31-03-2018;Las Condes;Gastos por Arriendos Operacionales;TRANSPORTES Const. LTDA.;1211626;;;3330371;$26.966,89;UF  123,50
31-03-2018;Las Condes;Gastos por Arriendos Operacionales;TRANSPORTES Const. LTDA.(Anulación) - 1211626;1217479;;;-3330371;$26.966,89;-UF  123,50
31-03-2018;Las Condes;Gastos por Arriendos Operacionales;FE-32673-BAÑOS QUIMICOS BIOSAN SPA.;1229086;FE;32673;130000;$26.966,89;UF  4,82
04-04-2018;Las Condes;Gastos por Herramientas Menores;FE-3875-HECTOR URBINA PAREDES;945470;FE;3875;14000;$26.966,89;UF  0,52
24-04-2018;Las Condes;Materias Primas de Obras en Ejecució n;FE-586-COMERCIAL FIBOX LTDA.;956566;FE;586;916030;$26.993,84;UF  33,93
25-04-2018;Las Condes;Subcontratos;FE-1197-ANGEL ESPINOZA VARAS Y CIA LTDA;957089;FE;1197;971519;$26.995,64;UF  35,99
25-04-2018;Las Condes;Materias Primas de Obras en Ejecució n;FE-2071-ASI LTDA.;957429;FE;2071;115000;$26.995,64;UF  4,26
30-04-2018;Las Condes;Materias Primas de Obras en Ejecució n;FE-1031-CONSTRUCTORA MAGA LTDA.;961395;FE;1031;170.000,00;$27.004,63;UF  6,30
30-04-2018;Las Condes;Materias Primas de Obras en Ejecució n;FE-158-TRANSPORTES Y COMERCIAL VARGAS Y CIA. LTDA.;963866;FE;158;456.000,00;$27.004,63;UF  16,89
30-04-2018;Las Condes;Telecomunicaciones y Alarmas;FE-9363209-ADT SECURITY SERVICES S.A.;1107726;FE;9363209;48.235,00;$27.004,63;UF  1,79
30-04-2018;Las Condes;Telecomunicaciones y Alarmas;FE-9364191-ADT SECURITY SERVICES S.A.;1107749;FE;9364191;19.089,00;$27.004,63;UF  0,71
17-05-2018;Las Condes;Gastos por Arriendos Operacionales;FE-33633-BAÑOS QUIMICOS BIOSAN SPA.;969409;FE;33633;115.000,00;$27.041,72;UF  4,25
29-05-2018;Las Condes;Subcontratos;FE-314-HORACIO MUSANTE E INGENIEROS SPA;974924;FE;314;135.086,00;$27.073,09;UF  4,99
29-05-2018;Las Condes;Materias Primas de Obras en Ejecució n;TESORERO MUNICIPAL DE LAS CONDES;975261;;;998.788,00;$27.073,09;UF  36,89
29-05-2018;Las Condes;Materias Primas de Obras en Ejecució n;TESORERO MUNICIPAL DE LAS CONDES;975261;;;371.419,00;$27.073,09;UF  13,72
30-05-2018;Las Condes;Subcontratos;#¿NOMBRE?;976497;;;3.893.800,00;$27.075,71;UF  143,81
30-05-2018;Las Condes;Subcontratos;Factura de proveedores - Cancelación - P76156051;993310;;;-3.893.800,00;$27.075,71;-UF  143,81
30-05-2018;Las Condes;Subcontratos;FE-599-MORALES Y ROJAS LIMITADA;994376;FE;599;1.420.000,00;$27.075,71;UF  52,45
31-05-2018;Las Condes;Remuneraciones Operacionales;Aporte Empleador Seg de Cesant;981577;;;29.962,00;$27.078,32;UF  1,11
31-05-2018;Las Condes;Remuneraciones Operacionales;Mutual de Seguridad;981577;;;33.058,00;$27.078,32;UF  1,22
31-05-2018;Las Condes;Remuneraciones Operacionales;Aporte Empleador S.I.S.;981577;;;14.082,00;$27.078,32;UF  0,52
31-05-2018;Las Condes;Remuneraciones Operacionales;Sueldo Base;981577;;;710.000,00;$27.078,32;UF  26,22
31-05-2018;Las Condes;Remuneraciones Operacionales;Gratificación Legal;981577;;;109.250,00;$27.078,32;UF  4,03
31-05-2018;Las Condes;Remuneraciones Operacionales;Bono Producción G.;981577;;;179.481,00;$27.078,32;UF  6,63
31-05-2018;Las Condes;Remuneraciones Operacionales;Colación;981577;;;20.000,00;$27.078,32;UF  0,74
31-05-2018;Las Condes;Remuneraciones Operacionales;Movilización;981577;;;16000;$27.078,32;UF  0,59
