#;Número de operación;Origen;Documento Origen SAP;Ref2-Nº Vale;Número de línea;Código de cuenta;Código Centro de Costo;Nombre del centro;Fecha de contabilización;Nombre de proyecto;Nombre de cuenta;Glosa de línea;Comprobante;Prefijo;Número folio;Monto
1;995489;Factura de Proveedores;1217479;;3;5101017;;;31-03-2018;Santiago;Gastos por Arriendos Operacionales;TRANSPORTES Const. LTDA.(Anulación) - 1211626;1217479;;;-27566
2;1064359;Factura de Proveedores;1211626;;3;5101017;;;31-03-2018;Santiago;Gastos por Arriendos Operacionales;TRANSPORTES Const. LTDA.;1211626;;;27566
3;1064362;Asiento;174907;;3;5101001;1003;GG-Gastos Varios;28-06-2018;Santiago;Materias Primas de Obras en Ejecución;BE-88-LEONARDO ANDRES CRUZ CARINE;995489;BHE;88;1402029
4;1069657;Factura de Proveedores;231662;;3;5101018;;;29-08-2018;Santiago;Diferencia de Precio;#¿NOMBRE?;1311488;;;-800
5;1069659;Factura de Proveedores;238002;;3;5101018;;;29-08-2018;Santiago;Diferencia de Precio;Factura de proveedores - Cancelación - P76766275;1347546;;;800
6;1072981;Factura de Proveedores;186755;;2;5101001;4013;GG-Caja Chica Obra;18-10-2018;Santiago;Materias Primas de Obras en Ejecución;FE-93657925-SODIMAC S.A.;1064359;FE;93657925;58571
7;1348905;Asiento;1064362;;;5101001;4013;GG-Caja Chica Obra;18-10-2018;Santiago;Materias Primas de Obras en Ejecución;CAJA CHICA Santiago;1064362;;;79965
8;1150659;Factura de Proveedores;187588;;2;5101001;4013;GG-Caja Chica Obra;25-10-2018;Santiago;Materias Primas de Obras en Ejecución;FE-93759576-SODIMAC S.A.;1069657;FE;93759576;28571
9;1382985;Factura de Proveedores;187589;;2;5101001;4013;GG-Caja Chica Obra;25-10-2018;Santiago;Materias Primas de Obras en Ejecución;FE-1120-TRANSPORTE DE CARGA JANINA ROJAS P. E.I.R.;1069659;FE;1120;70000
10;1391233;Factura de Proveedores;187979;;2;5101001;201;OG-Socalzado;30-10-2018;Santiago;Materias Primas de Obras en Ejecución;FE-29-ATON CONSTRUCCIONES SPA;1072981;FE;29;1711710
11;1391240;Factura de Proveedores;198865;;2;5101017;1002;GG-Maquinaria,equipos y herram;30-11-2018;Santiago;Gastos por Arriendos Operacionales;FE-3286-IGMA RESIDUOS LTDA;1141639;FE;3286;75000
12;1341966;Factura de Proveedores;1348905;;2;5101001;;;31-12-2018;Santiago;Materias Primas de Obras en Ejecución;Reclasifica Iva Credito 2018;1348905;;;-277704
13;1124561;Factura de Proveedores;198866;;2;5101017;;;31-12-2018;Santiago;Gastos por Arriendos Operacionales;FE-3349-IGMA RESIDUOS LTDA;1141647;FE;3349;52500
14;1145853;Factura de Proveedores;199995;;2;5101001;1009;GGOB-Gastos Informáticos;31-12-2018;Santiago;Materias Primas de Obras en Ejecución;FE-1111451-ING. Y CONSTRUCCION RICARDO RODRIGUEZ Y;1150659;FE;1111451;165000
15;1311971;Factura de Proveedores;243304;;2;5101001;1117;GGOF-CC 04 Personal;01-01-2019;Santiago;Materias Primas de Obras en Ejecución;33-484879-INVERSIONES Y COMERCIAL TRANCURA LIMITAD;1382985;33;484879;564706
16;1341963;Factura de Proveedores;244996;;2;6101027;;;02-01-2019;Santiago;Servicios Básicos;Factura de proveedores - Cancelación - P61808000;1389573;;;-71824
17;1161082;Pagos Efectuados;244309;;2;6101027;;;02-01-2019;Santiago;Servicios Básicos;#¿NOMBRE?;1386935;;;71824
18;1160978;Factura de Proveedores;245378;;2;5101001;207;OG-Enfierradura;10-01-2019;Santiago;Materias Primas de Obras en Ejecución;Factura de proveedores - Cancelación - P78634910;1391240;;;-2099140
19;1160981;Factura de Proveedores;245376;;2;5101001;207;OG-Enfierradura;10-01-2019;Santiago;Materias Primas de Obras en Ejecución;#¿NOMBRE?;1391233;;;2099140
20;1162270;Factura de Proveedores;236655;;2;5101001;1117;GGOF-CC 04 Personal;16-01-2019;Santiago;Materias Primas de Obras en Ejecución;33-506617-INVERSIONES Y COMERCIAL TRANCURA LIMITAD;1341966;33;506617;387227
21;1163952;Asiento;196559;;2;5101001;101;OP-Obras Preliminares;28-01-2019;Santiago;Materias Primas de Obras en Ejecución;FE-1447-ANGEL ESPINOZA VARAS Y CIA LTDA;1124561;FE;1447;799047
22;1163940;Factura de Proveedores;1383028;;19;5101003;70002;Calidad;31-01-2019;Santiago;Remuneraciones Operacionales;Traspaso Remuneraciones Enero-19 área SST(Anulació;1383028;;;-489929
23;1163942;Factura de Proveedores;212729;;2;6101027;;;31-01-2019;Santiago;Servicios Básicos;FE-4221572-AGUAS ANDINAS S.A.;1226702;FE;4221572;563
24;1163946;Factura de Proveedores;212734;;2;6101027;;;31-01-2019;Santiago;Servicios Básicos;FE-4221570-AGUAS ANDINAS S.A.;1226710;FE;4221570;563
25;1306778;Factura de Proveedores;212730;;2;6101027;;;31-01-2019;Santiago;Servicios Básicos;FE-4221575-AGUAS ANDINAS S.A.;1226703;FE;4221575;803
26;1165243;Pagos Efectuados;1366038;;19;5101003;70002;Calidad;31-01-2019;Santiago;Remuneraciones Operacionales;Traspaso Remuneraciones Enero-19 área SST;1366038;;;489929
27;1168517;Factura de Proveedores;1383092;;19;5101003;;;31-01-2019;Santiago;Remuneraciones Operacionales;Traspaso Remuneraciones Enero-19 área SST;1383092;;;567823
28;1251608;Factura de Proveedores;197493;;2;6101010;4010;GG-Seguros;04-02-2019;Santiago;Seguros y Similares;FE-5048726-LIBERTY CIA. DE SEGUROS GENERALES S.A;1128438;FE;5048726;16110893
29;1222186;Factura de Proveedores;1383031;;19;5101003;70002;Calidad;28-02-2019;Santiago;Remuneraciones Operacionales;Traspaso Remuneraciones Febrero-19 área SST(Anulac;1383031;;;-489658
30;1168513;Factura de Proveedores;212744;;2;6101027;;;28-02-2019;Santiago;Servicios Básicos;FE-4277061-AGUAS ANDINAS S.A.;1226729;FE;4277061;574
31;1168518;Asiento;212756;;2;6101027;;;28-02-2019;Santiago;Servicios Básicos;FE-4277065-AGUAS ANDINAS S.A.;1226747;FE;4277065;818
32;1172752;Asiento;212742;;2;6101027;;;28-02-2019;Santiago;Servicios Básicos;FE-4277063-AGUAS ANDINAS S.A.;1226727;FE;4277063;4952
33;1172533;Factura de Proveedores;199463;;2;5101001;70001;Adquisiciones y Servicios Gene;28-02-2019;Santiago;Materias Primas de Obras en Ejecución;FE-963568-MAX HUBER REPROTECNICA S.A.;1145853;FE;963568;35750
34;1172536;Factura de Proveedores;1366041;;19;5101003;70002;Calidad;28-02-2019;Santiago;Remuneraciones Operacionales;Traspaso Remuneraciones Febrero-19 área SST;1366041;;;489658
35;1172546;Factura de Proveedores;1383097;;19;5101003;;;28-02-2019;Santiago;Remuneraciones Operacionales;Traspaso Remuneraciones Febrero-19 área SST;1383097;;;567512
36;1172548;Factura de Proveedores;231824;;2;5101001;70008;Operaciones e Informatica;04-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-19597-PC EXPRESS COMPUTACION LIMITADA;1311971;FE;19597;66959
37;1172551;Factura de Proveedores;236653;;2;5101001;1117;GGOF-CC 04 Personal;05-03-2019;Santiago;Materias Primas de Obras en Ejecución;33-518573-INVERSIONES Y COMERCIAL TRANCURA LIMITAD;1341963;33;518573;649394
38;1341956;Factura de Proveedores;208310;;2;5101017;1002;GG-Maquinaria,equipos y herram;15-03-2019;Santiago;Gastos por Arriendos Operacionales;FE-8787-DASCO S.A.;1205690;FE;8787;34850
39;1176086;Factura de Proveedores;201105;;4;5101001;201;OG-Socalzado;20-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-84722-Comercial L y B Ltda.;1160981;FE;84722;8998
40;1176098;Factura de Proveedores;201104;;4;5101001;201;OG-Socalzado;20-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-84721-Comercial L y B Ltda.;1160978;FE;84721;11003
41;1177490;Factura de Proveedores;46866;;1;5101001;4001;GG-Derechos Municipales;20-03-2019;Santiago;Materias Primas de Obras en Ejecución;MEMO 666 PERMISO EXCAVACION;1161082;;;1155020
42;1177492;Factura de Proveedores;201295;;3;5101001;70008;Operaciones e Informatica;21-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-2778-INXAP SPA;1162270;FE;2778;229740
43;1179569;Asiento;201469;;2;5101001;;;25-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-52067-CHERRY FABIOLA ZARATE ABARCA;1163942;FE;52067;8824
44;1179561;Factura de Proveedores;201472;;2;5101001;;;25-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-1361-SANCHO GONZALEZ Y CIA LTDA;1163946;FE;1361;13445
45;1179562;Factura de Proveedores;1163952;;;5101001;;;25-03-2019;Santiago;Materias Primas de Obras en Ejecución;CAJA CHICA EDIFICIO Santiago;1163952;;;21549
46;1179564;Factura de Proveedores;201468;;2;5101001;;;25-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-2942791-FALABELLA RETAIL S.A.;1163940;FE;2942791;46202
47;1179565;Factura de Proveedores;230423;;2;5101001;;;26-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-1650054-ILOP S.A;1306778;FE;1650054;17101
48;1180028;Salida de Mercancia;47039;;1;5101001;4001;GG-Derechos Municipales;26-03-2019;Santiago;Materias Primas de Obras en Ejecución;TESORERO MUNICIPAL DE SANTIAGO;1165243;;;178478
49;1180037;Salida de Mercancia;201787;;2;5101017;1002;GG-Maquinaria,equipos y herram;27-03-2019;Santiago;Gastos por Arriendos Operacionales;FE-3625-IGMA RESIDUOS LTDA;1166080;FE;3625;60000
50;1180148;Salida de Mercancia;47047;;1;6101005;4009;GG-Legales Notaria;27-03-2019;Santiago;Gastos Generales;FERNANDO CELIS URRUTIA GASTOS NOTARIAL;1165879;;;60000
51;1180155;Salida de Mercancia;202272;;2;5101001;;;27-03-2019;Santiago;Materias Primas de Obras en Ejecución;FE-97169537-SODIMAC S.A.;1168517;FE;97169537;61834
52;1180162;Salida de Mercancia;201811;;2;5101004;1001;GG-Sueldos y Salarios;28-03-2019;Santiago;Subcontratos;FE-76-PROYECTOS CHILE SPA;1166202;FE;76;1134000
53;1180168;Salida de Mercancia;47146;;4;6101027;;;29-03-2019;Santiago;Servicios Básicos;Cancelar entrada para número de pago 47146;1169447;;;-86170
54;1180175;Salida de Mercancia;47146;;2;6101027;;;29-03-2019;Santiago;Servicios Básicos;Cancelar entrada para número de pago 47146;1169447;;;-11780
