Fecha de contabilización;Nombre de proyecto;Nombre de cuenta;Glosa de línea;Comprobante;Prefijo;Número folio;Monto;Valor UF;Total UF
29-11-2017;Ñuñoa;Servicios Básicos;METROGAS S.A.;881166;;;302.651,00;$26.725,79;UF  11,32
29-11-2017;Ñuñoa;Servicios Básicos;METROGAS S.A.;881166;;;188.989,00;$26.725,79;UF  7,07
29-11-2017;Ñuñoa;Servicios Básicos;Cancelar entrada para número de pago 36168;881648;;;-302.651,00;$26.725,79;-UF  11,32
29-11-2017;Ñuñoa;Servicios Básicos;Cancelar entrada para número de pago 36168;881648;;;-188.989,00;$26.725,79;-UF  7,07
30-11-2017;Ñuñoa;Servicios Básicos;METROGAS S.A.;881656;;;302.651,00;$26.731,12;UF  11,32
30-11-2017;Ñuñoa;Servicios Básicos;METROGAS S.A.;881656;;;162.825,00;$26.731,12;UF  6,09
13-12-2017;Ñuñoa;Servicios Básicos;CP-11015024-METROGAS S.A;887836;CP;11015024;11.982,00;$26.782,59;UF  0,45
13-12-2017;Ñuñoa;Servicios Básicos;Pagos efectuados - 6101027;887892;;;23.301,00;$26.782,59;UF  0,87
25-01-2018;Ñuñoa;Subcontratos;FE-110-EDUARDO ANDRES PALMA LATORRE;908619;FE;110;5.121.402,00;$26.819,75;UF  190,96
31-01-2018;Ñuñoa;Gastos por Arriendos Operacionales;FE-2519-IGMA RESIDUOS LTDA;915863;FE;2519;120.000,00;$26.824,94;UF  4,47
31-01-2018;Ñuñoa;Gastos por Arriendos Operacionales;FE-110958-TECNO FAST S.A.;932985;FE;110958;130.000,00;$26.824,94;UF  4,85
31-01-2018;Ñuñoa;Telecomunicaciones y Alarmas;FE-9235072-ADT SECURITY SERVICES S.A.;954328;FE;9235072;48.235,00;$26.824,94;UF  1,80
08-02-2018;Ñuñoa;Gastos por Herramientas Menores;FE-14392-ULMA CHILE ANDAMIOS Y MOLDAJES;915435;FE;14392;3.480.620,00;$26.831,86;UF  129,72
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;TESORERO MUNICIPAL DE NUÑOA;916933;;;141.865,00;$26.847,07;UF  5,28
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;TESORERO MUNICIPAL DE NUÑOA;916933;;;262.171,00;$26.847,07;UF  9,77
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;TESORERO MUNICIPAL DE NUÑOA;916933;;;851.792,00;$26.847,07;UF  31,73
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;Cancelar entrada para número de pago 37674;916939;;;-141.865,00;$26.847,07;-UF  5,28
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;Cancelar entrada para número de pago 37674;916939;;;-262.171,00;$26.847,07;-UF  9,77
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;Cancelar entrada para número de pago 37674;916939;;;-851.792,00;$26.847,07;-UF  31,73
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;TESORERO MUNICIPAL DE NUÑOA;916940;;;141.865,00;$26.847,07;UF  5,28
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;TESORERO MUNICIPAL DE NUÑOA;916940;;;262.171,00;$26.847,07;UF  9,77
12-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;TESORERO MUNICIPAL DE NUÑOA;916940;;;851.792,00;$26.847,07;UF  31,73
19-02-2018;Ñuñoa;Subcontratos;FE-112-EDUARDO ANDRES PALMA LATORRE;920487;FE;112;1.792.489,00;$26.880,57;UF  66,68
19-02-2018;Ñuñoa;Subcontratos;FE-113-EDUARDO ANDRES PALMA LATORRE;920488;FE;113;768.210,00;$26.880,57;UF  28,58
28-02-2018;Ñuñoa;Materias Primas de Obras en Ejecució n;FE-30405-CREATTIVA INTERNET LIMITADA;936306;FE;30405;57.984,00;$26.923,70;UF  2,15
28-02-2018;Ñuñoa;Gastos por Arriendos Operacionales;FE-113272-TECNO FAST S.A.;929658;FE;113272;130.000,00;$26.923,70;UF  4,83
28-02-2018;Ñuñoa;Gastos por Arriendos Operacionales;FE-2572-IGMA RESIDUOS LTDA;929560;FE;2572;45.000,00;$26.923,70;UF  1,67
