Date,Project,Account,Detail,Amount
2017-11-29,Ñuñoa,Servicios Básicos,METROGAS S.A.,302651
2017-11-29,Ñuñoa,Servicios Básicos,METROGAS S.A.,188989
2017-11-29,Ñuñoa,Servicios Básicos,Cancelar entrada para número de pago 36168,-302651
2017-11-29,Ñuñoa,Servicios Básicos,Cancelar entrada para número de pago 36168,-188989
2017-11-30,Ñuñoa,Servicios Básicos,METROGAS S.A.,302651
2017-11-30,Ñuñoa,Servicios Básicos,METROGAS S.A.,162825
2017-12-13,Ñuñoa,Servicios Básicos,CP-11015024-METROGAS S.A,11982
2017-12-13,Ñuñoa,Servicios Básicos,Pagos efectuados - 6101027,23301
2018-01-25,Ñuñoa,Subcontratos,FE-110-EDUARDO ANDRES PALMA LATORRE,5121402
2018-01-31,Ñuñoa,Gastos por Arriendos Operacionales,FE-2519-IGMA RESIDUOS LTDA,120000
2018-01-31,Ñuñoa,Gastos por Arriendos Operacionales,FE-110958-TECNO FAST S.A.,130000
2018-01-31,Ñuñoa,Telecomunicaciones y Alarmas,FE-9235072-ADT SECURITY SERVICES S.A.,48235
2018-02-08,Ñuñoa,Gastos por Herramientas Menores,FE-14392-ULMA CHILE ANDAMIOS Y MOLDAJES,3480620
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,141865
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,262171
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,851792
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,Cancelar entrada para número de pago 37674,-141865
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,Cancelar entrada para número de pago 37674,-262171
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,Cancelar entrada para número de pago 37674,-851792
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,141865
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,262171
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,851792
2018-02-19,Ñuñoa,Subcontratos,FE-112-EDUARDO ANDRES PALMA LATORRE,1792489
2018-02-19,Ñuñoa,Subcontratos,FE-113-EDUARDO ANDRES PALMA LATORRE,768210
2018-02-28,Ñuñoa,Materias Primas de Obras en Ejecución,FE-30405-CREATTIVA INTERNET LIMITADA,57984
2018-02-28,Ñuñoa,Gastos por Arriendos Operacionales,FE-113272-TECNO FAST S.A.,130000
2018-02-28,Ñuñoa,Gastos por Arriendos Operacionales,FE-2572-IGMA RESIDUOS LTDA,45000
2018-02-28,Ñuñoa,Gastos por Arriendos Operacionales,TRANSPORTES Const.,538474
2018-03-08,Ñuñoa,Gastos por Arriendos Operacionales,FE-2579-IGMA RESIDUOS LTDA,75000
2018-03-15,Ñuñoa,Materias Primas de Obras en Ejecución,FE-1015-SERV. INT. INFORMATICOS Y TRANSPORTES FANN,2559400
2018-03-19,Ñuñoa,Materias Primas de Obras en Ejecución,FE-30686-CREATTIVA INTERNET LIMITADA,61098
2018-03-21,Ñuñoa,Materias Primas de Obras en Ejecución,FE-1976-ASI LTDA.,195000
2018-03-23,Ñuñoa,Servicios Básicos,ENEL DISTRIBUCION CHILE S.A.,577631
2018-03-27,Ñuñoa,Subcontratos,FE-1-ATON CONSTRUCCIONES SPA,16486513
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,13663
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,15075
